destination,duration,total_budget,travelers,region,season,purpose,accommodation_type,accommodation,transportation,food,activities,miscellaneous
PAR,10,4218,5,North America,shoulder,family,hotel,1564.78,1113.97,809.51,461.55,268.2
MIA,6,7895,4,Middle East,shoulder,leisure,hotel,2745.08,2497.85,1543.17,873.77,235.14
TYO,13,4902,4,Oceania,peak,adventure,apartment,1874.68,1264.04,890.22,568.36,304.7
LAS,7,5052,3,Europe,peak,romantic,airbnb,1542.62,1240.81,1073.44,837.19,357.95
PAR,9,2707,4,North America,off_peak,leisure,resort,839.17,891.07,516.63,342.34,117.79
DXB,1,4926,5,North America,off_peak,romantic,resort,1790.75,930.98,872.79,913.91,417.58
LAX,11,7419,4,Middle East,shoulder,adventure,resort,2532.8,2152.36,1095.3,1377.69,260.84
PAR,7,9335,5,Middle East,peak,leisure,hostel,3642.02,1672.2,2252.49,1429.83,338.46
TYO,8,8886,2,Asia,off_peak,leisure,hostel,3446.04,1401.34,2100.81,1523.52,414.29
LAS,12,9180,5,Asia,shoulder,adventure,resort,3321.29,1549.1,2242.15,1351.89,715.58
MIA,14,2704,1,Asia,shoulder,adventure,apartment,1074.67,511.09,606.37,397.57,114.31
TYO,3,5845,1,Middle East,shoulder,adventure,hostel,2014.66,1780.17,1162.42,638.1,249.64
TYO,4,3776,1,Asia,off_peak,romantic,hostel,1401.03,959.77,710.31,400.7,304.2
LAX,10,1602,3,Asia,off_peak,adventure,hotel,685.24,245.14,244.56,292.09,134.97
LON,6,5743,3,Europe,peak,romantic,hotel,1898.97,1723.13,1091.05,618.1,411.75
LAS,10,7114,3,Asia,peak,family,apartment,2361.67,2162.38,1067.58,995.32,527.04
NYC,7,9933,5,North America,shoulder,leisure,hostel,3167.21,2251.71,2379.82,1399.44,734.82
TYO,13,9207,3,Middle East,shoulder,leisure,hostel,3571.59,1602.49,2071.82,1420.76,540.34
LON,14,5723,2,Oceania,off_peak,business,airbnb,1867.32,1893.36,947.44,728.57,286.31
NYC,4,9084,1,Europe,off_peak,family,apartment,2682.69,2124.07,2169.48,1646.2,461.55
